file,error_count
src/thinking/patterns/trend_detector.py,17
src/trading/portfolio/real_portfolio_monitor.py,11
src/intelligence/sentient_adaptation.py,9
src/thinking/patterns/cycle_detector.py,7
src/data_integration/data_fusion.py,6
src/genome/models/genome_adapter.py,6
src/orchestration/enhanced_intelligence_engine.py,5
src/sensory/organs/dimensions/institutional_tracker.py,5
src/sensory/organs/dimensions/integration_orchestrator.py,4
src/evolution/mutation/gaussian_mutation.py,3
src/sensory/organs/sentiment_organ.py,2
src/validation/honest_validation_framework.py,2
src/validation/phase2d_simple_integration.py,2
src/validation/real_market_validation.py,2
src/domain/__init__.py,1
src/ecosystem/optimization/ecosystem_optimizer.py,1
src/evolution/ambusher/ambusher_orchestrator.py,1
src/sensory/organs/dimensions/what_organ.py,1
src/sensory/organs/dimensions/when_organ.py,1
src/sensory/organs/price_organ.py,1
src/sensory/organs/volume_organ.py,1
src/thinking/analysis/market_analyzer.py,1
src/thinking/ecosystem/specialized_predator_evolution.py,1
src/thinking/patterns/anomaly_detector.py,1
src/thinking/phase3_orchestrator.py,1
src/thinking/thinking_manager.py,1
src/trading/execution/fix_executor.py,1
src/trading/monitoring/performance_tracker.py,1
src/ui/ui_manager.py,1
